district,market,crop,date,arrival_qty_tonnes,modal_price_rs_per_quintal,source
Alappuzha,Harippad Market,rice,2021-01-15,31.1,2680,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-01-15,45.5,2646,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-01-15,51.6,2706,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-01-15,34.9,2722,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-01-19,70.5,2640,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-01-19,46.0,2657,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-01-19,42.6,2684,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-01-19,74.6,2696,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-01-19,38.4,2698,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-01-21,66.8,2655,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-01-21,31.0,2694,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-01-21,29.5,2661,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-01-21,66.3,2692,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-01-21,46.3,2669,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-01-23,74.4,2621,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-01-23,33.3,2688,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-01-23,32.0,2684,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-01-23,80.2,2666,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-01-23,45.7,2712,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-01-25,76.0,2692,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-01-25,46.1,2687,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-01-25,35.0,2686,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-01-25,63.6,2659,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-01-25,44.6,2618,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-01-27,56.8,2682,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-01-27,31.2,2707,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-01-27,35.1,2688,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-01-27,66.6,2642,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-01-27,47.6,2717,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-01-29,81.3,2652,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-01-29,34.7,2651,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-01-29,34.4,2695,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-01-29,66.1,2655,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-01-29,29.9,2709,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-02-02,104.4,2627,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-02-02,57.6,2682,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-02-02,61.0,2670,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-02-02,130.3,2592,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-02-02,78.0,2675,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-02-04,112.1,2662,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-02-04,71.3,2696,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-02-04,55.7,2662,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-02-04,101.2,2659,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-02-04,53.9,2719,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-02-06,91.0,2666,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-02-06,70.4,2678,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-02-06,58.6,2642,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-02-06,131.5,2626,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-02-06,57.3,2669,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-02-08,110.5,2619,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-02-08,75.6,2672,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-02-08,81.1,2687,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-02-08,104.5,2697,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-02-08,55.8,2639,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-02-10,111.0,2657,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-02-10,77.9,2671,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-02-10,55.4,2705,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-02-10,99.7,2643,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-02-10,52.8,2698,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-02-12,96.1,2645,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-02-12,76.7,2626,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-02-12,75.3,2676,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-02-12,104.2,2610,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-02-12,63.9,2687,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-02-16,141.0,2634,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-02-16,75.5,2636,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-02-16,65.4,2670,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-02-16,105.9,2654,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-02-16,74.6,2653,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-02-18,137.7,2673,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-02-18,69.7,2665,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-02-18,59.3,2648,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-02-18,91.5,2669,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-02-18,75.1,2655,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-02-20,148.0,2615,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-02-20,86.2,2637,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-02-20,66.0,2685,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-02-20,141.1,2579,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-02-20,72.0,2648,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-02-22,146.2,2613,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-02-22,55.9,2719,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-02-22,74.0,2686,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-02-22,134.4,2609,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-02-22,76.9,2633,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-02-24,107.6,2665,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-02-24,80.8,2661,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-02-24,84.5,2657,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-02-24,120.7,2655,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-02-24,75.2,2658,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-02-26,132.1,2616,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-02-26,64.3,2672,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-02-26,65.6,2670,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-02-26,92.2,2622,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-02-26,68.8,2619,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-03-02,175.6,2582,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-03-02,75.0,2636,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-03-02,99.1,2629,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-03-02,190.7,2574,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-03-02,77.7,2624,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-03-04,130.3,2671,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-03-04,104.7,2679,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-03-04,109.1,2630,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-03-04,153.1,2603,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-03-04,112.5,2615,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-03-06,132.6,2568,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-03-06,74.7,2639,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-03-06,82.0,2694,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-03-06,139.1,2612,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-03-06,108.5,2589,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-03-08,181.5,2577,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-03-08,103.5,2675,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-03-08,94.1,2624,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-03-08,189.7,2529,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-03-08,74.2,2653,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-03-10,134.2,2655,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-03-10,97.6,2607,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-03-10,94.8,2639,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-03-10,159.5,2625,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-03-10,75.7,2691,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-03-12,157.5,2590,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-03-12,115.5,2683,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-03-12,105.8,2627,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-03-12,175.2,2575,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-03-12,119.6,2573,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-03-16,180.0,2601,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-03-16,96.0,2658,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-03-16,92.4,2645,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-03-16,206.7,2534,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-03-16,89.1,2651,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-03-18,197.0,2539,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-03-18,107.6,2622,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-03-18,104.3,2642,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-03-18,193.5,2572,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-03-18,87.3,2662,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-03-20,193.8,2540,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-03-20,122.0,2574,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-03-20,111.5,2597,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-03-20,154.6,2629,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-03-20,110.5,2617,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-03-22,134.7,2608,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-03-22,114.0,2648,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-03-22,89.2,2640,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-03-22,126.9,2635,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-03-22,117.9,2615,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-03-24,205.8,2532,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-03-24,120.1,2668,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-03-24,95.5,2667,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-03-24,150.6,2624,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-03-24,110.4,2598,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-03-26,192.5,2541,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-03-26,100.4,2636,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-03-26,95.1,2633,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-03-26,135.8,2627,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-03-26,80.5,2669,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-03-30,134.5,2642,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-03-30,77.6,2645,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-03-30,113.8,2630,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-03-30,185.3,2593,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-03-30,119.9,2608,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-04-01,149.2,2579,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-04-01,55.4,2709,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-04-01,79.7,2603,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-04-01,144.4,2639,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-04-01,56.4,2667,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-04-03,118.1,2622,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-04-03,54.5,2707,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-04-03,72.9,2679,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-04-03,147.7,2560,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-04-03,82.9,2630,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-04-05,103.4,2636,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-04-05,87.3,2672,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-04-05,55.1,2687,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-04-05,121.4,2620,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-04-05,74.5,2648,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-04-07,127.7,2660,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-04-07,73.0,2657,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-04-07,74.2,2683,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-04-07,106.6,2627,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-04-07,64.9,2633,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-04-09,125.0,2568,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-04-09,81.0,2662,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-04-09,76.5,2676,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-04-09,115.1,2661,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-04-09,85.1,2648,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-04-13,138.6,2597,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-04-13,87.1,2655,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-04-13,65.8,2639,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-04-13,148.2,2603,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-04-13,68.9,2670,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-04-15,114.9,2622,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-04-15,82.8,2650,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-04-15,81.0,2691,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-04-15,146.7,2605,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-04-15,82.2,2644,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-04-17,97.7,2599,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-04-17,85.9,2615,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-04-17,76.0,2671,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-04-17,127.1,2593,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-04-17,76.0,2650,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-04-19,121.2,2622,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-04-19,82.3,2691,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-04-19,71.8,2687,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-04-19,114.2,2629,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-04-19,57.2,2711,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-04-21,102.8,2657,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-04-21,57.3,2630,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-04-21,67.8,2700,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-04-21,144.2,2604,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-04-21,79.9,2600,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-04-23,113.8,2650,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-04-23,85.7,2657,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-04-23,57.6,2673,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-04-23,105.5,2652,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-04-23,68.6,2664,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-04-27,109.7,2639,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-04-27,74.7,2655,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-04-27,57.0,2672,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-04-27,97.7,2611,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-04-27,64.6,2679,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-04-29,143.8,2651,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-04-29,58.5,2664,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-04-29,59.2,2651,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-04-29,95.3,2627,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-04-29,56.7,2638,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-05-01,22.4,2698,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-05-01,14.0,2708,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-05-01,16.1,2709,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-05-01,25.5,2722,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-05-01,15.7,2693,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-05-03,20.2,2691,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-05-03,13.9,2679,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-05-03,14.8,2694,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-05-03,27.0,2644,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-05-03,10.8,2734,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-05-05,28.7,2673,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-05-05,14.1,2686,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-05-05,13.6,2712,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-05-05,24.4,2681,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-05-05,13.1,2688,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-05-07,18.2,2680,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-05-07,12.8,2695,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-05-07,11.3,2718,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-05-07,26.1,2723,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-05-07,16.0,2687,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-05-11,24.4,2701,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-05-11,14.6,2699,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-05-11,11.4,2752,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-05-11,21.4,2739,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-05-11,14.5,2677,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-05-13,22.3,2704,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-05-13,12.2,2715,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-05-13,11.2,2701,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-05-13,19.9,2689,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-05-13,11.8,2691,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-05-15,28.8,2684,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-05-15,11.1,2650,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-05-15,17.4,2724,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-05-15,19.3,2715,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-05-15,16.6,2706,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-05-17,27.8,2680,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-05-17,15.2,2696,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-05-17,17.0,2759,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-05-17,21.4,2744,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-05-17,15.9,2694,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-05-19,23.1,2677,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-05-19,14.1,2699,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-05-19,14.8,2702,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-05-19,21.5,2675,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-05-19,13.9,2717,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-05-21,24.4,2698,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-05-21,11.4,2702,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-05-21,10.9,2698,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-05-21,26.2,2719,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-05-21,15.8,2690,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-05-25,22.9,2763,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-05-25,12.9,2715,Agmarknet via CEDA
Alappuzha,Ambalapuzha Market,rice,2021-05-25,11.8,2714,Agmarknet via CEDA
Kottayam,Changanassery Market,rice,2021-05-25,18.8,2718,Agmarknet via CEDA
Kottayam,Kottayam Market,rice,2021-05-25,16.4,2748,Agmarknet via CEDA
Alappuzha,Alappuzha Mandi,rice,2021-05-27,19.7,2690,Agmarknet via CEDA
Alappuzha,Harippad Market,rice,2021-05-27,11.6,2727,Agmarknet via CEDA
