district,date,rainfall_mm,forecast_flag,source
Alappuzha,2021-02-18,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-02-18,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-02-19,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-02-19,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-02-20,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-02-20,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-02-21,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-02-21,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-02-22,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-02-22,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-02-23,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-02-23,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-02-24,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-02-24,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-02-25,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-02-25,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-02-26,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-02-26,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-02-27,1.6,historical,IMD Historical & Gridded Data
Kottayam,2021-02-27,4.5,historical,IMD Historical & Gridded Data
Alappuzha,2021-02-28,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-02-28,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-01,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-01,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-02,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-02,20.5,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-03,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-03,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-04,63.9,historical,IMD Historical & Gridded Data
Kottayam,2021-03-04,7.4,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-05,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-05,22.4,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-06,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-06,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-07,8.9,historical,IMD Historical & Gridded Data
Kottayam,2021-03-07,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-08,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-08,11.3,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-09,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-09,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-10,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-10,3.3,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-11,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-11,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-12,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-12,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-13,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-13,1.7,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-14,2.2,historical,IMD Historical & Gridded Data
Kottayam,2021-03-14,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-15,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-15,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-16,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-16,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-17,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-17,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-18,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-18,53.9,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-19,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-19,57.8,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-20,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-20,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-21,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-21,5.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-22,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-22,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-23,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-23,8.3,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-24,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-24,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-25,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-25,8.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-26,13.7,historical,IMD Historical & Gridded Data
Kottayam,2021-03-26,5.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-27,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-27,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-28,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-28,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-29,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-29,29.1,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-30,10.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-30,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-03-31,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-03-31,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-01,3.6,historical,IMD Historical & Gridded Data
Kottayam,2021-04-01,12.2,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-02,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-02,7.6,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-03,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-03,3.2,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-04,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-04,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-05,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-05,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-06,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-06,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-07,3.1,historical,IMD Historical & Gridded Data
Kottayam,2021-04-07,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-08,0.1,historical,IMD Historical & Gridded Data
Kottayam,2021-04-08,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-09,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-09,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-10,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-10,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-11,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-11,12.9,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-12,11.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-12,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-13,0.6,historical,IMD Historical & Gridded Data
Kottayam,2021-04-13,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-14,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-14,21.8,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-15,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-15,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-16,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-16,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-17,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-17,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-18,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-18,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-19,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-19,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-20,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-20,7.2,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-21,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-21,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-22,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-22,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-23,8.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-23,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-24,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-24,3.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-25,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-25,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-26,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-26,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-27,14.7,historical,IMD Historical & Gridded Data
Kottayam,2021-04-27,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-28,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-28,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-29,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-04-29,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-04-30,1.1,historical,IMD Historical & Gridded Data
Kottayam,2021-04-30,2.2,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-01,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-01,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-02,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-02,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-03,18.5,historical,IMD Historical & Gridded Data
Kottayam,2021-05-03,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-04,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-04,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-05,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-05,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-06,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-06,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-07,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-07,5.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-08,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-08,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-09,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-09,0.8,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-10,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-10,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-11,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-11,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-12,41.3,historical,IMD Historical & Gridded Data
Kottayam,2021-05-12,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-13,21.5,historical,IMD Historical & Gridded Data
Kottayam,2021-05-13,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-14,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-14,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-15,16.4,historical,IMD Historical & Gridded Data
Kottayam,2021-05-15,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-16,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-16,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-17,19.2,historical,IMD Historical & Gridded Data
Kottayam,2021-05-17,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-18,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-18,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-19,3.7,historical,IMD Historical & Gridded Data
Kottayam,2021-05-19,59.099999999999994,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-20,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-20,8.2,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-21,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-21,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-22,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-22,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-23,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-23,0.2,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-24,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-24,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-25,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-25,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-26,8.8,historical,IMD Historical & Gridded Data
Kottayam,2021-05-26,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-27,3.9,historical,IMD Historical & Gridded Data
Kottayam,2021-05-27,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-28,19.3,historical,IMD Historical & Gridded Data
Kottayam,2021-05-28,40.2,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-29,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-05-29,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-30,4.8,historical,IMD Historical & Gridded Data
Kottayam,2021-05-30,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-05-31,41.1,historical,IMD Historical & Gridded Data
Kottayam,2021-05-31,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-01,69.2,historical,IMD Historical & Gridded Data
Kottayam,2021-06-01,48.7,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-02,33.4,historical,IMD Historical & Gridded Data
Kottayam,2021-06-02,29.9,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-03,64.5,historical,IMD Historical & Gridded Data
Kottayam,2021-06-03,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-04,24.2,historical,IMD Historical & Gridded Data
Kottayam,2021-06-04,53.3,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-05,35.3,historical,IMD Historical & Gridded Data
Kottayam,2021-06-05,2.2,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-06,18.4,historical,IMD Historical & Gridded Data
Kottayam,2021-06-06,78.5,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-07,149.5,historical,IMD Historical & Gridded Data
Kottayam,2021-06-07,110.3,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-08,0.3,historical,IMD Historical & Gridded Data
Kottayam,2021-06-08,12.5,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-09,12.1,historical,IMD Historical & Gridded Data
Kottayam,2021-06-09,66.6,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-10,11.6,historical,IMD Historical & Gridded Data
Kottayam,2021-06-10,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-11,6.3,historical,IMD Historical & Gridded Data
Kottayam,2021-06-11,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-12,40.3,historical,IMD Historical & Gridded Data
Kottayam,2021-06-12,2.4,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-13,22.9,historical,IMD Historical & Gridded Data
Kottayam,2021-06-13,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-14,2.0,historical,IMD Historical & Gridded Data
Kottayam,2021-06-14,42.2,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-15,17.1,historical,IMD Historical & Gridded Data
Kottayam,2021-06-15,19.5,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-16,30.0,historical,IMD Historical & Gridded Data
Kottayam,2021-06-16,26.2,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-17,25.2,historical,IMD Historical & Gridded Data
Kottayam,2021-06-17,9.3,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-18,66.0,historical,IMD Historical & Gridded Data
Kottayam,2021-06-18,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-19,19.8,historical,IMD Historical & Gridded Data
Kottayam,2021-06-19,4.2,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-20,35.8,historical,IMD Historical & Gridded Data
Kottayam,2021-06-20,9.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-21,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-06-21,31.6,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-22,2.9,historical,IMD Historical & Gridded Data
Kottayam,2021-06-22,0.4,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-23,0.5,historical,IMD Historical & Gridded Data
Kottayam,2021-06-23,55.1,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-24,25.5,historical,IMD Historical & Gridded Data
Kottayam,2021-06-24,39.7,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-25,8.8,historical,IMD Historical & Gridded Data
Kottayam,2021-06-25,18.3,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-26,41.2,historical,IMD Historical & Gridded Data
Kottayam,2021-06-26,8.2,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-27,63.1,historical,IMD Historical & Gridded Data
Kottayam,2021-06-27,10.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-28,19.3,historical,IMD Historical & Gridded Data
Kottayam,2021-06-28,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-29,49.3,historical,IMD Historical & Gridded Data
Kottayam,2021-06-29,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-06-30,9.9,historical,IMD Historical & Gridded Data
Kottayam,2021-06-30,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-01,18.0,historical,IMD Historical & Gridded Data
Kottayam,2021-07-01,34.7,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-02,39.2,historical,IMD Historical & Gridded Data
Kottayam,2021-07-02,3.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-03,105.4,historical,IMD Historical & Gridded Data
Kottayam,2021-07-03,13.7,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-04,27.7,historical,IMD Historical & Gridded Data
Kottayam,2021-07-04,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-05,3.8,historical,IMD Historical & Gridded Data
Kottayam,2021-07-05,0.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-06,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-07-06,64.7,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-07,72.5,historical,IMD Historical & Gridded Data
Kottayam,2021-07-07,44.9,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-08,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-07-08,24.4,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-09,14.1,historical,IMD Historical & Gridded Data
Kottayam,2021-07-09,16.9,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-10,17.7,historical,IMD Historical & Gridded Data
Kottayam,2021-07-10,40.5,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-11,16.1,historical,IMD Historical & Gridded Data
Kottayam,2021-07-11,114.7,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-12,11.9,historical,IMD Historical & Gridded Data
Kottayam,2021-07-12,15.2,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-13,0.0,historical,IMD Historical & Gridded Data
Kottayam,2021-07-13,26.1,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-14,13.0,historical,IMD Historical & Gridded Data
Kottayam,2021-07-14,40.5,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-15,30.6,historical,IMD Historical & Gridded Data
Kottayam,2021-07-15,29.6,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-16,0.5,historical,IMD Historical & Gridded Data
Kottayam,2021-07-16,42.5,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-17,8.1,historical,IMD Historical & Gridded Data
Kottayam,2021-07-17,29.5,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-18,23.2,historical,IMD Historical & Gridded Data
Kottayam,2021-07-18,2.4,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-19,24.5,historical,IMD Historical & Gridded Data
Kottayam,2021-07-19,43.0,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-20,4.6,historical,IMD Historical & Gridded Data
Kottayam,2021-07-20,3.5,historical,IMD Historical & Gridded Data
Alappuzha,2021-07-21,11.3,historical,IMD Historical & Gridded Data
Kottayam,2021-07-21,3.4,historical,IMD Historical & Gridded Data
