district,crop,year,season,area_ha,production_tonnes,productivity_kg_ha,source
Alappuzha,rice,2012-13,virippu,4100,11849,2890,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2012-13,mundakan,3195,9223,2890,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2013-14,punja,29900,85424,2857,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2013-14,virippu,4300,12285,2857,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2013-14,mundakan,3203,9157,2857,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2014-15,punja,27500,82390,2996,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2014-15,virippu,4000,11984,2996,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2014-15,mundakan,2915,8721,2996,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2015-16,punja,25300,71245,2816,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2015-16,virippu,3800,10701,2816,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2015-16,mundakan,2624,7389,2816,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2016-17,punja,26000,82082,3157,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2016-17,virippu,3700,11681,3157,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2016-17,mundakan,2753,8676,3157,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2017-18,punja,32300,93961,2909,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2017-18,virippu,4500,13090,2909,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2017-18,mundakan,3593,10452,2909,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2018-19,punja,33800,102848,3329,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2018-19,virippu,4800,14592,3329,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2018-19,mundakan,3673,11120,3329,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2019-20,punja,32200,90053,3158,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2019-20,virippu,4600,12866,3158,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2019-20,mundakan,3538,9673,3158,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2020-21,punja,32200,83674,2890,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2020-21,virippu,4600,11953,2890,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2020-21,mundakan,3544,8966,2890,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Alappuzha,rice,2021-22,punja,31500,94500,3000,Kerala Agri Dept EARAS 2022
Alappuzha,rice,2021-22,virippu,4500,13500,3000,Kerala Agri Dept EARAS 2022
Alappuzha,rice,2021-22,mundakan,3450,10350,3000,Kerala Agri Dept EARAS 2022
Alappuzha,rice,2022-23,punja,31100,96050,3087,Kerala Agri Dept EARAS 2023
Alappuzha,rice,2022-23,virippu,4400,13580,3087,Kerala Agri Dept EARAS 2023
Alappuzha,rice,2022-23,mundakan,3441,10583,3087,Kerala Agri Dept EARAS 2023
Kottayam,rice,2016-17,punja,13700,38223,2790,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2016-17,virippu,2100,5859,2790,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2016-17,mundakan,1416,3948,2790,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2017-18,punja,13900,39490,2841,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2017-18,virippu,2200,6250,2841,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2017-18,mundakan,1370,3769,2841,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2018-19,punja,17700,49436,2793,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2018-19,virippu,2700,7541,2793,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2018-19,mundakan,1822,4940,2793,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2019-20,punja,14900,39808,2840,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2019-20,virippu,2300,6532,2840,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2019-20,mundakan,1540,3711,2840,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2020-21,punja,15700,40663,2904,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2020-21,virippu,2400,6970,2904,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2020-21,mundakan,1590,3386,2904,"Kerala Agri Dept Compendium 2023, Table 5.1.1"
Kottayam,rice,2021-22,punja,15000,43500,2900,Kerala Agri Dept EARAS 2022
Kottayam,rice,2021-22,virippu,2300,6670,2900,Kerala Agri Dept EARAS 2022
Kottayam,rice,2021-22,mundakan,1500,4350,2900,Kerala Agri Dept EARAS 2022
Kottayam,rice,2022-23,punja,15200,45600,3000,Kerala Agri Dept EARAS 2023
Kottayam,rice,2022-23,virippu,2350,7050,3000,Kerala Agri Dept EARAS 2023
Kottayam,rice,2022-23,mundakan,1550,4650,3000,Kerala Agri Dept EARAS 2023
